Epoch,Train_loss,Train_accuracy,Test_loss,Test_accuracy
1,0.26363713868459066,0.92298335,0.14767649120895657,95.479996
2,0.11968087250199945,0.96473336,0.10747315708326642,96.63
3,0.08487554756597578,0.97580004,0.09657904072193196,96.88
4,0.06575442631683351,0.98093337,0.08288209516511415,97.27
5,0.05165313691707949,0.9856334,0.07913424296987068,97.45
6,0.04197645755075549,0.98801666,0.08113124813890317,97.369995
7,0.03420673906622445,0.99095,0.07262605959719076,97.61
8,0.027647263820086664,0.9937,0.07410950042974945,97.52
9,0.022770707455817805,0.99516666,0.07100855865780249,97.77
10,0.018640005390405348,0.99655,0.07136970919932355,97.67
11,0.015240726749703148,0.9976,0.07138454849657865,97.64
12,0.012439276933971087,0.99853337,0.0723655616652295,97.71
13,0.01061859370402241,0.99885,0.07093976078192099,97.759995
14,0.008999046378688036,0.9992,0.0729107558029591,97.74
15,0.00767503324499027,0.99948335,0.07094363748970864,97.75
16,0.006809477722097957,0.99965,0.07149537216446743,97.78
17,0.0059682142103529255,0.9997333,0.07117603704843305,97.79
18,0.005377542643618426,0.9997667,0.07251360567956863,97.729996
19,0.004838115997812414,0.99983335,0.073672169983382,97.79
20,0.0043218701903992955,0.99988335,0.07348572800557394,97.75
21,0.00400613821601443,0.99993336,0.0751257896111465,97.75
22,0.003672556299672351,0.99993336,0.07329047202791594,97.799995
23,0.003435496781794067,0.99995,0.07419303200783088,97.77
24,0.003209530238214787,0.99995,0.07540253845561233,97.799995
25,0.0029863221183306903,0.9999667,0.07500816204168256,97.77
26,0.0027998959987356785,0.9999667,0.07550249702436929,97.78
27,0.0026314397244548977,0.9999834,0.07504608246528165,97.78
28,0.0025089729449758805,1.0,0.07586633520924249,97.759995
29,0.0023612959883729068,1.0,0.07738618875683989,97.71
30,0.002265645896366891,1.0,0.07725699696959157,97.7
31,0.0021506933379955816,1.0,0.07687152561676737,97.72
32,0.002056398929514027,1.0,0.07784436005112627,97.81
33,0.0019661471404937934,1.0,0.07733998276743165,97.72
34,0.001880867702676293,1.0,0.07797511668136764,97.77
35,0.0018194018171467405,1.0,0.07887511335856318,97.79
36,0.0017310902066438227,1.0,0.07886436905942094,97.71
37,0.0016796921982487163,1.0,0.07864865414118759,97.759995
38,0.0016138935929219543,1.0,0.07938728578119225,97.729996
39,0.0015615651558745943,1.0,0.07830476167034293,97.78
40,0.0015039529966285271,1.0,0.07961776548945704,97.729996
41,0.0014617380722429327,1.0,0.08003860730470805,97.74
42,0.0014131472807015655,1.0,0.07991056045932013,97.77
43,0.0013700118017112004,1.0,0.08012444804304195,97.72
44,0.001328569832261195,1.0,0.08053524053345243,97.689995
45,0.0012922520464996362,1.0,0.08069006128351602,97.74
46,0.001255097459030149,1.0,0.0806582397955687,97.78
47,0.001219077683496901,1.0,0.08098569678323977,97.729996
48,0.0011865614843000099,1.0,0.0811594267244208,97.74
49,0.0011538109417120381,1.0,0.08164349315877237,97.74
50,0.0011268192309536952,1.0,0.08170651029660436,97.649994
51,0.0011004289868589106,1.0,0.08211985229121695,97.74
52,0.0010710209530456892,1.0,0.08213529941106006,97.77
53,0.0010467590043332156,1.0,0.0823572904093896,97.74
54,0.0010196107283514096,1.0,0.08254325478620618,97.74
55,0.0009979925790826484,1.0,0.08253800216139734,97.71
56,0.0009761136146113738,1.0,0.0829378415739565,97.71
57,0.0009552268148396147,1.0,0.08265564205857778,97.729996
58,0.0009345438751906746,1.0,0.08321950891818944,97.72
59,0.0009144308445296948,1.0,0.08340783094147271,97.71
60,0.0008947925098017511,1.0,0.08329230502482923,97.71
