Epoch,Train_loss,Train_accuracy,Test_loss,Test_accuracy
1,0.12411823738417782,0.9613167,0.042729753397909916,98.61
2,0.04175772808446239,0.9870833,0.034791140642216535,98.88
3,0.027822140082498645,0.99095,0.03036002226771535,99.0
4,0.021548037936516738,0.99315,0.028702853142738433,99.02
5,0.015060566187013597,0.9949833,0.023798945145263702,99.22
6,0.01164355231748577,0.99615,0.02503649221486697,99.28
7,0.009767026554709466,0.99700004,0.03064872275346385,99.149994
8,0.0067346580159430335,0.9979667,0.028373100789291145,99.17
9,0.006802642286038129,0.9978667,0.02619642728672765,99.22
10,0.004391550107615095,0.9986333,0.03201916392594206,99.149994
11,0.004269549407060302,0.9986,0.034076688615195985,99.119995
12,0.003956303695016288,0.99875003,0.027932890160251987,99.34
13,0.002751669460515228,0.99915004,0.03194129341045932,99.2
14,0.0009813253740671656,0.9996667,0.03145289306528829,99.28
15,0.0004056513292436354,0.99993336,0.030247682218421636,99.35
16,0.00014737793929602342,1.0,0.031348416312939394,99.329994
17,0.00014455127097681686,0.9999834,0.0317370398930395,99.38
18,7.027749555175511e-05,0.9999834,0.0325313041787812,99.36
19,3.995414218412089e-05,1.0,0.03289422191359197,99.369995
20,3.461062270061799e-05,1.0,0.033501855656555946,99.38
21,3.0159145976264236e-05,1.0,0.034013176337000794,99.369995
22,2.7511781959416243e-05,1.0,0.03427958633017825,99.38
23,2.4841073447846066e-05,1.0,0.03472963021991213,99.38
24,2.2820377613016104e-05,1.0,0.03498503740768116,99.38
25,2.119142129580028e-05,1.0,0.035317501025282895,99.38
26,1.977994263388953e-05,1.0,0.035584543072501675,99.369995
27,1.8598520013001735e-05,1.0,0.03584193159890123,99.38
28,1.7479804771673398e-05,1.0,0.036003040210101166,99.38
29,1.666259899403292e-05,1.0,0.036203185466056255,99.369995
30,1.579071524334452e-05,1.0,0.03643798168567761,99.369995
31,1.4954041954061322e-05,1.0,0.036719351973793946,99.38
32,1.4469188241397054e-05,1.0,0.03687119977066739,99.36
33,1.3629636723241134e-05,1.0,0.0371395299854519,99.369995
34,1.308364267456182e-05,1.0,0.03735486092565505,99.38
35,1.2831329374662322e-05,1.0,0.037347293301579196,99.36
36,1.2149922062561085e-05,1.0,0.037509298910747606,99.36
37,1.1835394280268475e-05,1.0,0.037663994655701645,99.36
38,1.1390651122855051e-05,1.0,0.037823392636758185,99.36
39,1.0942315389443162e-05,1.0,0.038050583946990076,99.36
40,1.0630299826833205e-05,1.0,0.03814329686014483,99.369995
41,1.0332355736531204e-05,1.0,0.03827540114709979,99.369995
42,9.938620288786855e-06,1.0,0.03837892510623708,99.35
43,9.704148149898432e-06,1.0,0.03848500651856181,99.369995
44,9.442717139634738e-06,1.0,0.03862104757401124,99.369995
45,9.159647831892196e-06,1.0,0.038737749791982995,99.369995
46,8.926506546901378e-06,1.0,0.03885419232437994,99.36
47,8.682143521246448e-06,1.0,0.03895471817651981,99.369995
48,8.453590440391068e-06,1.0,0.03908177367113441,99.36
49,8.255945763858464e-06,1.0,0.0391365466840619,99.369995
50,8.046897404244764e-06,1.0,0.03927748498166309,99.369995
51,7.869926542134624e-06,1.0,0.039367667638987594,99.36
52,7.69582861318252e-06,1.0,0.039478578775786234,99.369995
53,7.496649268251628e-06,1.0,0.0395631253698307,99.36
54,7.355175599500126e-06,1.0,0.03964090660681348,99.369995
55,7.178489060987244e-06,1.0,0.03971670878164951,99.369995
56,7.014165151079037e-06,1.0,0.03985941761832208,99.369995
57,6.86484746020799e-06,1.0,0.03989485069085714,99.36
58,6.747031316042928e-06,1.0,0.04000076867721637,99.36
59,6.601293056166746e-06,1.0,0.04009971649131416,99.369995
60,6.4770732508048214e-06,1.0,0.040167738400442334,99.369995
